"HO","DO","HR","DR","PHI"
1.00,1.00,1.00,5.00,0.00
1.00,1.00,1.00,6.00,0.00
1.00,1.00,1.00,1.00,0.03
1.00,1.00,1.00,4.00,0.08
1.00,1.00,1.00,2.00,0.19
1.00,1.00,1.00,3.00,0.62
1.00,1.00,2.00,1.00,0.00
1.00,1.00,2.00,2.00,0.00
1.00,1.00,2.00,4.00,0.00
1.00,1.00,2.00,5.00,0.00
1.00,1.00,2.00,6.00,0.00
1.00,1.00,2.00,3.00,0.02
1.00,1.00,3.00,1.00,0.00
1.00,1.00,3.00,2.00,0.00
1.00,1.00,3.00,3.00,0.00
1.00,1.00,3.00,4.00,0.00
1.00,1.00,3.00,5.00,0.00
1.00,1.00,3.00,6.00,0.00
1.00,1.00,4.00,1.00,0.00
1.00,1.00,4.00,4.00,0.00
1.00,1.00,4.00,5.00,0.00
1.00,1.00,4.00,6.00,0.00
1.00,1.00,4.00,2.00,0.01
1.00,1.00,4.00,3.00,0.02
1.00,1.00,5.00,1.00,0.00
1.00,1.00,5.00,2.00,0.00
1.00,1.00,5.00,3.00,0.00
1.00,1.00,5.00,4.00,0.00
1.00,1.00,5.00,5.00,0.00
1.00,1.00,5.00,6.00,0.00
1.00,1.00,6.00,1.00,0.00
1.00,1.00,6.00,2.00,0.00
1.00,1.00,6.00,3.00,0.00
1.00,1.00,6.00,4.00,0.00
1.00,1.00,6.00,5.00,0.00
1.00,1.00,6.00,6.00,0.00
1.00,1.00,7.00,1.00,0.00
1.00,1.00,7.00,2.00,0.00
1.00,1.00,7.00,3.00,0.00
1.00,1.00,7.00,4.00,0.00
1.00,1.00,7.00,5.00,0.00
1.00,1.00,7.00,6.00,0.00
1.00,1.00,8.00,1.00,0.00
1.00,1.00,8.00,2.00,0.00
1.00,1.00,8.00,3.00,0.00
1.00,1.00,8.00,4.00,0.00
1.00,1.00,8.00,5.00,0.00
1.00,1.00,8.00,6.00,0.00
1.00,2.00,1.00,1.00,0.00
1.00,2.00,1.00,5.00,0.00
1.00,2.00,1.00,6.00,0.00
1.00,2.00,1.00,4.00,0.23
1.00,2.00,1.00,2.00,0.25
1.00,2.00,1.00,3.00,0.45
1.00,2.00,2.00,1.00,0.00
1.00,2.00,2.00,2.00,0.00
1.00,2.00,2.00,4.00,0.00
1.00,2.00,2.00,5.00,0.00
1.00,2.00,2.00,6.00,0.00
1.00,2.00,2.00,3.00,0.01
1.00,2.00,3.00,1.00,0.00
1.00,2.00,3.00,2.00,0.00
1.00,2.00,3.00,3.00,0.00
1.00,2.00,3.00,4.00,0.00
1.00,2.00,3.00,5.00,0.00
1.00,2.00,3.00,6.00,0.00
1.00,2.00,4.00,1.00,0.00
1.00,2.00,4.00,4.00,0.00
1.00,2.00,4.00,5.00,0.00
1.00,2.00,4.00,6.00,0.00
1.00,2.00,4.00,2.00,0.01
1.00,2.00,4.00,3.00,0.02
1.00,2.00,5.00,1.00,0.00
1.00,2.00,5.00,2.00,0.00
1.00,2.00,5.00,3.00,0.00
1.00,2.00,5.00,4.00,0.00
1.00,2.00,5.00,5.00,0.00
1.00,2.00,5.00,6.00,0.00
1.00,2.00,6.00,1.00,0.00
1.00,2.00,6.00,2.00,0.00
1.00,2.00,6.00,3.00,0.00
1.00,2.00,6.00,4.00,0.00
1.00,2.00,6.00,5.00,0.00
1.00,2.00,6.00,6.00,0.00
1.00,2.00,7.00,1.00,0.00
1.00,2.00,7.00,2.00,0.00
1.00,2.00,7.00,3.00,0.00
1.00,2.00,7.00,4.00,0.00
1.00,2.00,7.00,5.00,0.00
1.00,2.00,7.00,6.00,0.00
1.00,2.00,8.00,1.00,0.00
1.00,2.00,8.00,2.00,0.00
1.00,2.00,8.00,3.00,0.00
1.00,2.00,8.00,4.00,0.00
1.00,2.00,8.00,5.00,0.00
1.00,2.00,8.00,6.00,0.00
1.00,3.00,1.00,6.00,0.00
1.00,3.00,1.00,2.00,0.01
1.00,3.00,1.00,5.00,0.02
1.00,3.00,1.00,1.00,0.02
1.00,3.00,1.00,3.00,0.44
1.00,3.00,1.00,4.00,0.47
1.00,3.00,2.00,1.00,0.00
1.00,3.00,2.00,2.00,0.00
1.00,3.00,2.00,3.00,0.00
1.00,3.00,2.00,4.00,0.00
1.00,3.00,2.00,5.00,0.00
1.00,3.00,2.00,6.00,0.00
1.00,3.00,3.00,1.00,0.00
1.00,3.00,3.00,2.00,0.00
1.00,3.00,3.00,3.00,0.00
1.00,3.00,3.00,4.00,0.00
1.00,3.00,3.00,5.00,0.00
1.00,3.00,3.00,6.00,0.00
1.00,3.00,4.00,1.00,0.00
1.00,3.00,4.00,2.00,0.00
1.00,3.00,4.00,4.00,0.00
1.00,3.00,4.00,5.00,0.00
1.00,3.00,4.00,6.00,0.00
1.00,3.00,4.00,3.00,0.01
1.00,3.00,5.00,1.00,0.00
1.00,3.00,5.00,2.00,0.00
1.00,3.00,5.00,3.00,0.00
1.00,3.00,5.00,4.00,0.00
1.00,3.00,5.00,5.00,0.00
1.00,3.00,5.00,6.00,0.00
1.00,3.00,6.00,1.00,0.00
1.00,3.00,6.00,2.00,0.00
1.00,3.00,6.00,3.00,0.00
1.00,3.00,6.00,4.00,0.00
1.00,3.00,6.00,5.00,0.00
1.00,3.00,6.00,6.00,0.00
1.00,3.00,7.00,1.00,0.00
1.00,3.00,7.00,2.00,0.00
1.00,3.00,7.00,3.00,0.00
1.00,3.00,7.00,4.00,0.00
1.00,3.00,7.00,5.00,0.00
1.00,3.00,7.00,6.00,0.00
1.00,3.00,8.00,1.00,0.00
1.00,3.00,8.00,2.00,0.00
1.00,3.00,8.00,3.00,0.00
1.00,3.00,8.00,4.00,0.00
1.00,3.00,8.00,5.00,0.00
1.00,3.00,8.00,6.00,0.00
1.00,4.00,1.00,6.00,0.00
1.00,4.00,1.00,5.00,0.02
1.00,4.00,1.00,1.00,0.12
1.00,4.00,1.00,3.00,0.24
1.00,4.00,1.00,4.00,0.26
1.00,4.00,1.00,2.00,0.31
1.00,4.00,2.00,1.00,0.00
1.00,4.00,2.00,2.00,0.00
1.00,4.00,2.00,3.00,0.00
1.00,4.00,2.00,4.00,0.00
1.00,4.00,2.00,5.00,0.00
1.00,4.00,2.00,6.00,0.00
1.00,4.00,3.00,1.00,0.00
1.00,4.00,3.00,2.00,0.00
1.00,4.00,3.00,3.00,0.00
1.00,4.00,3.00,4.00,0.00
1.00,4.00,3.00,5.00,0.00
1.00,4.00,3.00,6.00,0.00
1.00,4.00,4.00,1.00,0.00
1.00,4.00,4.00,3.00,0.00
1.00,4.00,4.00,4.00,0.00
1.00,4.00,4.00,5.00,0.00
1.00,4.00,4.00,6.00,0.00
1.00,4.00,4.00,2.00,0.01
1.00,4.00,5.00,1.00,0.00
1.00,4.00,5.00,2.00,0.00
1.00,4.00,5.00,3.00,0.00
1.00,4.00,5.00,4.00,0.00
1.00,4.00,5.00,5.00,0.00
1.00,4.00,5.00,6.00,0.00
1.00,4.00,6.00,1.00,0.00
1.00,4.00,6.00,2.00,0.00
1.00,4.00,6.00,3.00,0.00
1.00,4.00,6.00,4.00,0.00
1.00,4.00,6.00,5.00,0.00
1.00,4.00,6.00,6.00,0.00
1.00,4.00,7.00,1.00,0.00
1.00,4.00,7.00,2.00,0.00
1.00,4.00,7.00,3.00,0.00
1.00,4.00,7.00,4.00,0.00
1.00,4.00,7.00,5.00,0.00
1.00,4.00,7.00,6.00,0.00
1.00,4.00,8.00,1.00,0.00
1.00,4.00,8.00,2.00,0.00
1.00,4.00,8.00,3.00,0.00
1.00,4.00,8.00,4.00,0.00
1.00,4.00,8.00,5.00,0.00
1.00,4.00,8.00,6.00,0.00
1.00,5.00,1.00,1.00,0.00
1.00,5.00,1.00,2.00,0.00
1.00,5.00,1.00,3.00,0.00
1.00,5.00,1.00,4.00,0.00
1.00,5.00,1.00,6.00,0.04
1.00,5.00,1.00,5.00,0.88
1.00,5.00,2.00,1.00,0.00
1.00,5.00,2.00,2.00,0.00
1.00,5.00,2.00,3.00,0.00
1.00,5.00,2.00,4.00,0.00
1.00,5.00,2.00,6.00,0.00
1.00,5.00,2.00,5.00,0.01
1.00,5.00,3.00,1.00,0.00
1.00,5.00,3.00,2.00,0.00
1.00,5.00,3.00,3.00,0.00
1.00,5.00,3.00,4.00,0.00
1.00,5.00,3.00,5.00,0.00
1.00,5.00,3.00,6.00,0.00
1.00,5.00,4.00,1.00,0.00
1.00,5.00,4.00,2.00,0.00
1.00,5.00,4.00,3.00,0.00
1.00,5.00,4.00,4.00,0.00
1.00,5.00,4.00,6.00,0.00
1.00,5.00,4.00,5.00,0.04
1.00,5.00,5.00,1.00,0.00
1.00,5.00,5.00,2.00,0.00
1.00,5.00,5.00,3.00,0.00
1.00,5.00,5.00,4.00,0.00
1.00,5.00,5.00,5.00,0.00
1.00,5.00,5.00,6.00,0.00
1.00,5.00,6.00,1.00,0.00
1.00,5.00,6.00,2.00,0.00
1.00,5.00,6.00,3.00,0.00
1.00,5.00,6.00,4.00,0.00
1.00,5.00,6.00,6.00,0.00
1.00,5.00,6.00,5.00,0.01
1.00,5.00,7.00,1.00,0.00
1.00,5.00,7.00,2.00,0.00
1.00,5.00,7.00,3.00,0.00
1.00,5.00,7.00,4.00,0.00
1.00,5.00,7.00,5.00,0.00
1.00,5.00,7.00,6.00,0.00
1.00,5.00,8.00,1.00,0.00
1.00,5.00,8.00,2.00,0.00
1.00,5.00,8.00,3.00,0.00
1.00,5.00,8.00,4.00,0.00
1.00,5.00,8.00,5.00,0.00
1.00,5.00,8.00,6.00,0.00
1.00,6.00,1.00,2.00,0.00
1.00,6.00,1.00,3.00,0.00
1.00,6.00,1.00,5.00,0.00
1.00,6.00,1.00,1.00,0.03
1.00,6.00,1.00,4.00,0.03
1.00,6.00,1.00,6.00,0.87
1.00,6.00,2.00,1.00,0.00
1.00,6.00,2.00,2.00,0.00
1.00,6.00,2.00,3.00,0.00
1.00,6.00,2.00,4.00,0.00
1.00,6.00,2.00,5.00,0.00
1.00,6.00,2.00,6.00,0.01
1.00,6.00,3.00,1.00,0.00
1.00,6.00,3.00,2.00,0.00
1.00,6.00,3.00,3.00,0.00
1.00,6.00,3.00,4.00,0.00
1.00,6.00,3.00,5.00,0.00
1.00,6.00,3.00,6.00,0.00
1.00,6.00,4.00,1.00,0.00
1.00,6.00,4.00,2.00,0.00
1.00,6.00,4.00,3.00,0.00
1.00,6.00,4.00,4.00,0.00
1.00,6.00,4.00,5.00,0.00
1.00,6.00,4.00,6.00,0.01
1.00,6.00,5.00,1.00,0.00
1.00,6.00,5.00,2.00,0.00
1.00,6.00,5.00,3.00,0.00
1.00,6.00,5.00,4.00,0.00
1.00,6.00,5.00,5.00,0.00
1.00,6.00,5.00,6.00,0.00
1.00,6.00,6.00,1.00,0.00
1.00,6.00,6.00,2.00,0.00
1.00,6.00,6.00,3.00,0.00
1.00,6.00,6.00,4.00,0.00
1.00,6.00,6.00,5.00,0.00
1.00,6.00,6.00,6.00,0.01
1.00,6.00,7.00,1.00,0.00
1.00,6.00,7.00,2.00,0.00
1.00,6.00,7.00,3.00,0.00
1.00,6.00,7.00,4.00,0.00
1.00,6.00,7.00,5.00,0.00
1.00,6.00,7.00,6.00,0.00
1.00,6.00,8.00,1.00,0.00
1.00,6.00,8.00,2.00,0.00
1.00,6.00,8.00,3.00,0.00
1.00,6.00,8.00,4.00,0.00
1.00,6.00,8.00,5.00,0.00
1.00,6.00,8.00,6.00,0.00
2.00,1.00,1.00,1.00,0.00
2.00,1.00,1.00,5.00,0.00
2.00,1.00,1.00,6.00,0.00
2.00,1.00,1.00,2.00,0.01
2.00,1.00,1.00,4.00,0.02
2.00,1.00,1.00,3.00,0.09
2.00,1.00,2.00,5.00,0.00
2.00,1.00,2.00,6.00,0.00
2.00,1.00,2.00,1.00,0.06
2.00,1.00,2.00,4.00,0.08
2.00,1.00,2.00,2.00,0.25
2.00,1.00,2.00,3.00,0.45
2.00,1.00,3.00,1.00,0.00
2.00,1.00,3.00,2.00,0.00
2.00,1.00,3.00,3.00,0.00
2.00,1.00,3.00,4.00,0.00
2.00,1.00,3.00,5.00,0.00
2.00,1.00,3.00,6.00,0.00
2.00,1.00,4.00,1.00,0.00
2.00,1.00,4.00,2.00,0.00
2.00,1.00,4.00,3.00,0.00
2.00,1.00,4.00,4.00,0.00
2.00,1.00,4.00,5.00,0.00
2.00,1.00,4.00,6.00,0.00
2.00,1.00,5.00,1.00,0.00
2.00,1.00,5.00,2.00,0.00
2.00,1.00,5.00,3.00,0.00
2.00,1.00,5.00,4.00,0.00
2.00,1.00,5.00,5.00,0.00
2.00,1.00,5.00,6.00,0.00
2.00,1.00,6.00,1.00,0.00
2.00,1.00,6.00,2.00,0.00
2.00,1.00,6.00,3.00,0.00
2.00,1.00,6.00,5.00,0.00
2.00,1.00,6.00,6.00,0.00
2.00,1.00,6.00,4.00,0.01
2.00,1.00,7.00,1.00,0.00
2.00,1.00,7.00,2.00,0.00
2.00,1.00,7.00,3.00,0.00
2.00,1.00,7.00,4.00,0.00
2.00,1.00,7.00,5.00,0.00
2.00,1.00,7.00,6.00,0.00
2.00,1.00,8.00,1.00,0.00
2.00,1.00,8.00,2.00,0.00
2.00,1.00,8.00,3.00,0.00
2.00,1.00,8.00,4.00,0.00
2.00,1.00,8.00,5.00,0.00
2.00,1.00,8.00,6.00,0.00
2.00,2.00,1.00,1.00,0.00
2.00,2.00,1.00,2.00,0.00
2.00,2.00,1.00,5.00,0.00
2.00,2.00,1.00,6.00,0.00
2.00,2.00,1.00,4.00,0.01
2.00,2.00,1.00,3.00,0.05
2.00,2.00,2.00,1.00,0.00
2.00,2.00,2.00,5.00,0.00
2.00,2.00,2.00,6.00,0.00
2.00,2.00,2.00,4.00,0.10
2.00,2.00,2.00,3.00,0.38
2.00,2.00,2.00,2.00,0.41
2.00,2.00,3.00,1.00,0.00
2.00,2.00,3.00,2.00,0.00
2.00,2.00,3.00,3.00,0.00
2.00,2.00,3.00,4.00,0.00
2.00,2.00,3.00,5.00,0.00
2.00,2.00,3.00,6.00,0.00
2.00,2.00,4.00,1.00,0.00
2.00,2.00,4.00,4.00,0.00
2.00,2.00,4.00,5.00,0.00
2.00,2.00,4.00,6.00,0.00
2.00,2.00,4.00,3.00,0.01
2.00,2.00,4.00,2.00,0.01
2.00,2.00,5.00,1.00,0.00
2.00,2.00,5.00,2.00,0.00
2.00,2.00,5.00,3.00,0.00
2.00,2.00,5.00,4.00,0.00
2.00,2.00,5.00,5.00,0.00
2.00,2.00,5.00,6.00,0.00
2.00,2.00,6.00,1.00,0.00
2.00,2.00,6.00,2.00,0.00
2.00,2.00,6.00,3.00,0.00
2.00,2.00,6.00,4.00,0.00
2.00,2.00,6.00,5.00,0.00
2.00,2.00,6.00,6.00,0.00
2.00,2.00,7.00,1.00,0.00
2.00,2.00,7.00,2.00,0.00
2.00,2.00,7.00,3.00,0.00
2.00,2.00,7.00,4.00,0.00
2.00,2.00,7.00,5.00,0.00
2.00,2.00,7.00,6.00,0.00
2.00,2.00,8.00,1.00,0.00
2.00,2.00,8.00,2.00,0.00
2.00,2.00,8.00,3.00,0.00
2.00,2.00,8.00,4.00,0.00
2.00,2.00,8.00,5.00,0.00
2.00,2.00,8.00,6.00,0.00
2.00,3.00,1.00,1.00,0.00
2.00,3.00,1.00,2.00,0.00
2.00,3.00,1.00,5.00,0.00
2.00,3.00,1.00,6.00,0.00
2.00,3.00,1.00,4.00,0.01
2.00,3.00,1.00,3.00,0.02
2.00,3.00,2.00,1.00,0.00
2.00,3.00,2.00,2.00,0.00
2.00,3.00,2.00,6.00,0.00
2.00,3.00,2.00,5.00,0.01
2.00,3.00,2.00,3.00,0.37
2.00,3.00,2.00,4.00,0.55
2.00,3.00,3.00,1.00,0.00
2.00,3.00,3.00,2.00,0.00
2.00,3.00,3.00,3.00,0.00
2.00,3.00,3.00,4.00,0.00
2.00,3.00,3.00,5.00,0.00
2.00,3.00,3.00,6.00,0.00
2.00,3.00,4.00,1.00,0.00
2.00,3.00,4.00,2.00,0.00
2.00,3.00,4.00,4.00,0.00
2.00,3.00,4.00,5.00,0.00
2.00,3.00,4.00,6.00,0.00
2.00,3.00,4.00,3.00,0.01
2.00,3.00,5.00,1.00,0.00
2.00,3.00,5.00,2.00,0.00
2.00,3.00,5.00,3.00,0.00
2.00,3.00,5.00,4.00,0.00
2.00,3.00,5.00,5.00,0.00
2.00,3.00,5.00,6.00,0.00
2.00,3.00,6.00,1.00,0.00
2.00,3.00,6.00,2.00,0.00
2.00,3.00,6.00,3.00,0.00
2.00,3.00,6.00,5.00,0.00
2.00,3.00,6.00,6.00,0.00
2.00,3.00,6.00,4.00,0.01
2.00,3.00,7.00,1.00,0.00
2.00,3.00,7.00,2.00,0.00
2.00,3.00,7.00,3.00,0.00
2.00,3.00,7.00,4.00,0.00
2.00,3.00,7.00,5.00,0.00
2.00,3.00,7.00,6.00,0.00
2.00,3.00,8.00,1.00,0.00
2.00,3.00,8.00,2.00,0.00
2.00,3.00,8.00,3.00,0.00
2.00,3.00,8.00,4.00,0.00
2.00,3.00,8.00,5.00,0.00
2.00,3.00,8.00,6.00,0.00
2.00,4.00,1.00,1.00,0.00
2.00,4.00,1.00,2.00,0.00
2.00,4.00,1.00,5.00,0.00
2.00,4.00,1.00,6.00,0.00
2.00,4.00,1.00,3.00,0.01
2.00,4.00,1.00,4.00,0.03
2.00,4.00,2.00,6.00,0.00
2.00,4.00,2.00,5.00,0.02
2.00,4.00,2.00,2.00,0.05
2.00,4.00,2.00,3.00,0.07
2.00,4.00,2.00,1.00,0.07
2.00,4.00,2.00,4.00,0.69
2.00,4.00,3.00,1.00,0.00
2.00,4.00,3.00,2.00,0.00
2.00,4.00,3.00,3.00,0.00
2.00,4.00,3.00,4.00,0.00
2.00,4.00,3.00,5.00,0.00
2.00,4.00,3.00,6.00,0.00
2.00,4.00,4.00,1.00,0.00
2.00,4.00,4.00,2.00,0.00
2.00,4.00,4.00,3.00,0.00
2.00,4.00,4.00,4.00,0.00
2.00,4.00,4.00,5.00,0.00
2.00,4.00,4.00,6.00,0.00
2.00,4.00,5.00,1.00,0.00
2.00,4.00,5.00,2.00,0.00
2.00,4.00,5.00,3.00,0.00
2.00,4.00,5.00,4.00,0.00
2.00,4.00,5.00,5.00,0.00
2.00,4.00,5.00,6.00,0.00
2.00,4.00,6.00,1.00,0.00
2.00,4.00,6.00,2.00,0.00
2.00,4.00,6.00,3.00,0.00
2.00,4.00,6.00,5.00,0.00
2.00,4.00,6.00,6.00,0.00
2.00,4.00,6.00,4.00,0.01
2.00,4.00,7.00,1.00,0.00
2.00,4.00,7.00,2.00,0.00
2.00,4.00,7.00,3.00,0.00
2.00,4.00,7.00,4.00,0.00
2.00,4.00,7.00,5.00,0.00
2.00,4.00,7.00,6.00,0.00
2.00,4.00,8.00,1.00,0.00
2.00,4.00,8.00,2.00,0.00
2.00,4.00,8.00,3.00,0.00
2.00,4.00,8.00,4.00,0.00
2.00,4.00,8.00,5.00,0.00
2.00,4.00,8.00,6.00,0.00
2.00,5.00,1.00,1.00,0.00
2.00,5.00,1.00,2.00,0.00
2.00,5.00,1.00,3.00,0.00
2.00,5.00,1.00,4.00,0.00
2.00,5.00,1.00,6.00,0.00
2.00,5.00,1.00,5.00,0.05
2.00,5.00,2.00,1.00,0.00
2.00,5.00,2.00,2.00,0.00
2.00,5.00,2.00,3.00,0.00
2.00,5.00,2.00,4.00,0.00
2.00,5.00,2.00,6.00,0.03
2.00,5.00,2.00,5.00,0.86
2.00,5.00,3.00,1.00,0.00
2.00,5.00,3.00,2.00,0.00
2.00,5.00,3.00,3.00,0.00
2.00,5.00,3.00,4.00,0.00
2.00,5.00,3.00,5.00,0.00
2.00,5.00,3.00,6.00,0.00
2.00,5.00,4.00,1.00,0.00
2.00,5.00,4.00,2.00,0.00
2.00,5.00,4.00,3.00,0.00
2.00,5.00,4.00,4.00,0.00
2.00,5.00,4.00,6.00,0.00
2.00,5.00,4.00,5.00,0.04
2.00,5.00,5.00,1.00,0.00
2.00,5.00,5.00,2.00,0.00
2.00,5.00,5.00,3.00,0.00
2.00,5.00,5.00,4.00,0.00
2.00,5.00,5.00,5.00,0.00
2.00,5.00,5.00,6.00,0.00
2.00,5.00,6.00,1.00,0.00
2.00,5.00,6.00,2.00,0.00
2.00,5.00,6.00,3.00,0.00
2.00,5.00,6.00,4.00,0.00
2.00,5.00,6.00,6.00,0.00
2.00,5.00,6.00,5.00,0.01
2.00,5.00,7.00,1.00,0.00
2.00,5.00,7.00,2.00,0.00
2.00,5.00,7.00,3.00,0.00
2.00,5.00,7.00,4.00,0.00
2.00,5.00,7.00,5.00,0.00
2.00,5.00,7.00,6.00,0.00
2.00,5.00,8.00,1.00,0.00
2.00,5.00,8.00,2.00,0.00
2.00,5.00,8.00,3.00,0.00
2.00,5.00,8.00,4.00,0.00
2.00,5.00,8.00,5.00,0.00
2.00,5.00,8.00,6.00,0.00
2.00,6.00,1.00,1.00,0.00
2.00,6.00,1.00,2.00,0.00
2.00,6.00,1.00,3.00,0.00
2.00,6.00,1.00,4.00,0.00
2.00,6.00,1.00,5.00,0.00
2.00,6.00,1.00,6.00,0.03
2.00,6.00,2.00,1.00,0.00
2.00,6.00,2.00,2.00,0.00
2.00,6.00,2.00,5.00,0.00
2.00,6.00,2.00,3.00,0.01
2.00,6.00,2.00,4.00,0.02
2.00,6.00,2.00,6.00,0.89
2.00,6.00,3.00,1.00,0.00
2.00,6.00,3.00,2.00,0.00
2.00,6.00,3.00,3.00,0.00
2.00,6.00,3.00,4.00,0.00
2.00,6.00,3.00,5.00,0.00
2.00,6.00,3.00,6.00,0.00
2.00,6.00,4.00,1.00,0.00
2.00,6.00,4.00,2.00,0.00
2.00,6.00,4.00,3.00,0.00
2.00,6.00,4.00,4.00,0.00
2.00,6.00,4.00,5.00,0.00
2.00,6.00,4.00,6.00,0.00
2.00,6.00,5.00,1.00,0.00
2.00,6.00,5.00,2.00,0.00
2.00,6.00,5.00,3.00,0.00
2.00,6.00,5.00,4.00,0.00
2.00,6.00,5.00,5.00,0.00
2.00,6.00,5.00,6.00,0.00
2.00,6.00,6.00,1.00,0.00
2.00,6.00,6.00,2.00,0.00
2.00,6.00,6.00,3.00,0.00
2.00,6.00,6.00,4.00,0.00
2.00,6.00,6.00,5.00,0.00
2.00,6.00,6.00,6.00,0.02
2.00,6.00,7.00,1.00,0.00
2.00,6.00,7.00,2.00,0.00
2.00,6.00,7.00,3.00,0.00
2.00,6.00,7.00,4.00,0.00
2.00,6.00,7.00,5.00,0.00
2.00,6.00,7.00,6.00,0.00
2.00,6.00,8.00,1.00,0.00
2.00,6.00,8.00,2.00,0.00
2.00,6.00,8.00,3.00,0.00
2.00,6.00,8.00,4.00,0.00
2.00,6.00,8.00,5.00,0.00
